updateDate,code,code_name
,sh.600519,贵州茅台
,sz.002142,宁波银行
,sz.002557,洽洽食品
,sh.600887,伊利股份
,sh.600597,光明乳业
,sh.600585,海螺水泥
,sh.600276,恒瑞医药
