日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-06-21,'601916,浙商银行,3.99,4.0,3.98,4.0,4.0,-0.01,-0.25,0.2158,15128577,60414501.0,84862100144.2,27972478274.2
2021-06-18,'601916,浙商银行,4.0,4.01,3.99,4.0,4.0,0.0,0.0,0.2938,20595314,82312213.0,85074787112.0,28042584736.0
2021-06-17,'601916,浙商银行,4.0,4.03,4.0,4.02,4.02,-0.02,-0.4975,0.2517,17644100,70769589.0,85074787112.0,28042584736.0
2021-06-16,'601916,浙商银行,4.02,4.05,4.0,4.01,4.01,0.01,0.2494,0.4983,34932489,140727893.0,85500161047.6,28182797659.7
2021-06-15,'601916,浙商银行,4.01,4.03,3.97,4.01,4.0,0.01,0.25,0.967,67789761,270991216.0,85287474079.8,28112691197.8
2021-06-11,'601916,浙商银行,4.0,4.05,4.0,4.01,3.99,0.01,0.2506,1.3054,91517802,367587953.0,85074787112.0,28042584736.0
2021-06-10,'601916,浙商银行,3.99,4.02,3.96,4.01,4.01,-0.02,-0.4988,0.9916,69516384,277720632.0,84862100144.2,27972478274.2
2021-06-09,'601916,浙商银行,4.01,4.02,3.99,4.01,4.01,0.0,0.0,0.319,22363448,89542003.0,85287474079.8,28112691197.8
2021-06-08,'601916,浙商银行,4.01,4.02,3.99,4.0,4.0,0.01,0.25,0.3233,22667001,90774728.0,85287474079.8,28112691197.8
2021-06-07,'601916,浙商银行,4.0,4.02,3.99,4.0,4.01,-0.01,-0.2494,0.2298,16112352,64446022.0,85074787112.0,28042584736.0
2021-06-04,'601916,浙商银行,4.01,4.03,4.0,4.0,4.0,0.01,0.25,0.2713,19022733,76362459.0,85287474079.8,28112691197.8
2021-06-03,'601916,浙商银行,4.0,4.02,4.0,4.02,4.02,-0.02,-0.4975,0.2355,16510600,66200633.0,85074787112.0,28042584736.0
2021-06-02,'601916,浙商银行,4.02,4.02,4.0,4.02,4.02,0.0,0.0,0.2932,20552981,82360597.0,85500161047.6,28182797659.7
2021-06-01,'601916,浙商银行,4.02,4.02,3.99,4.02,4.02,0.0,0.0,0.3,21033896,84265039.0,85500161047.6,28182797659.7
2021-05-31,'601916,浙商银行,4.02,4.04,4.0,4.03,4.04,-0.02,-0.495,0.3561,24964364,100205745.0,85500161047.6,28182797659.7
2021-05-28,'601916,浙商银行,4.04,4.06,4.0,4.01,4.01,0.03,0.7481,0.615,43113467,174148607.0,85925534983.1,28323010583.4
2021-05-27,'601916,浙商银行,4.01,4.02,3.98,4.0,4.0,0.01,0.25,0.6985,48968778,196168172.0,85287474079.8,28112691197.8
2021-05-26,'601916,浙商银行,4.0,4.02,3.98,3.99,4.0,0.0,0.0,0.4769,33432323,133724566.0,85074787112.0,28042584736.0
2021-05-25,'601916,浙商银行,4.0,4.0,3.95,3.97,3.97,0.03,0.7557,0.5168,36229937,144425605.0,85074787112.0,28042584736.0
2021-05-24,'601916,浙商银行,3.97,3.97,3.95,3.95,3.95,0.02,0.5063,0.1806,12661378,50129382.0,84436726208.7,27832265350.5
2021-05-21,'601916,浙商银行,3.95,3.98,3.94,3.97,3.98,-0.03,-0.7538,0.4126,28926100,114476028.0,84011352273.1,27692052426.8
2021-05-20,'601916,浙商银行,3.98,3.98,3.95,3.97,3.97,0.01,0.2519,0.3199,22423633,88941544.0,84649413176.4,27902371812.3
2021-05-19,'601916,浙商银行,3.97,3.99,3.96,3.99,3.99,-0.02,-0.5013,0.1993,13973450,55445751.0,84436726208.7,27832265350.5
2021-05-18,'601916,浙商银行,3.99,4.0,3.97,3.99,4.0,-0.01,-0.25,0.3238,22702203,90534353.0,84862100144.2,27972478274.2
2021-05-17,'601916,浙商银行,4.0,4.01,3.98,3.99,4.0,0.0,0.0,0.3685,25832407,103187181.0,85074787112.0,28042584736.0
2021-05-14,'601916,浙商银行,4.0,4.0,3.95,3.97,3.97,0.03,0.7557,0.6615,46375660,184725616.0,85074787112.0,28042584736.0
2021-05-13,'601916,浙商银行,3.97,3.97,3.95,3.97,3.97,0.0,0.0,0.252,17669207,69978806.0,84436726208.7,27832265350.5
2021-05-12,'601916,浙商银行,3.97,3.99,3.95,3.97,3.98,-0.01,-0.2513,0.4782,33521647,133052111.0,84436726208.7,27832265350.5
2021-05-11,'601916,浙商银行,3.98,3.98,3.96,3.98,3.98,0.0,0.0,0.176,12339106,49001112.0,84649413176.4,27902371812.3
2021-05-10,'601916,浙商银行,3.98,3.99,3.96,3.99,3.99,-0.01,-0.2506,0.2397,16802660,66689725.0,84649413176.4,27902371812.3
2021-05-07,'601916,浙商银行,3.99,3.99,3.95,3.96,3.96,0.03,0.7576,0.2567,17998933,71512408.0,84862100144.2,27972478274.2
2021-05-06,'601916,浙商银行,3.96,3.98,3.94,3.94,3.95,0.01,0.2532,0.2329,16328946,64637385.0,84224039240.9,27762158888.6
2021-04-30,'601916,浙商银行,3.95,3.98,3.93,3.97,3.99,-0.04,-1.0025,0.4657,32651795,129124277.0,84011352273.1,27692052426.8
2021-04-29,'601916,浙商银行,3.99,4.0,3.96,3.96,3.97,0.02,0.5038,0.2023,14180753,56540794.0,84862100144.2,27972478274.2
2021-04-28,'601916,浙商银行,3.97,3.97,3.96,3.97,3.97,0.0,0.0,0.1462,10252577,40634295.0,84436726208.7,27832265350.5
2021-04-27,'601916,浙商银行,3.97,3.98,3.96,3.97,3.98,-0.01,-0.2513,0.1566,10978676,43540267.0,84436726208.7,27832265350.5
2021-04-26,'601916,浙商银行,3.98,3.99,3.97,3.98,3.98,0.0,0.0,0.1657,11616600,46231219.0,84649413176.4,27902371812.3
2021-04-23,'601916,浙商银行,3.98,4.0,3.97,3.99,4.0,-0.02,-0.5,0.156,10933798,43481011.0,84649413176.4,27902371812.3
2021-04-22,'601916,浙商银行,4.0,4.01,3.98,4.0,4.0,0.0,0.0,0.216,15141039,60394156.0,85074787112.0,28042584736.0
2021-04-21,'601916,浙商银行,4.0,4.01,3.99,4.0,4.0,0.0,0.0,0.2042,14315993,57304065.0,85074787112.0,28042584736.0
2021-04-20,'601916,浙商银行,4.0,4.02,3.99,4.01,4.01,-0.01,-0.2494,0.2041,14308200,57274717.0,85074787112.0,28042584736.0
2021-04-19,'601916,浙商银行,4.01,4.02,3.97,3.98,3.98,0.03,0.7538,0.3069,21518439,86042581.0,85287474079.8,28112691197.8
2021-04-16,'601916,浙商银行,3.98,3.99,3.96,3.96,3.96,0.02,0.5051,0.2013,14113847,56117481.0,84649413176.4,27902371812.3
2021-04-15,'601916,浙商银行,3.96,3.98,3.95,3.97,3.97,-0.01,-0.2519,0.2223,15584020,61732460.0,84224039240.9,27762158888.6
2021-04-14,'601916,浙商银行,3.97,3.99,3.96,3.99,3.98,-0.01,-0.2513,0.2173,15236500,60550448.0,84436726208.7,27832265350.5
2021-04-13,'601916,浙商银行,3.98,4.0,3.97,3.99,4.0,-0.02,-0.5,0.2236,15676780,62404564.0,84649413176.4,27902371812.3
2021-04-12,'601916,浙商银行,4.0,4.01,3.98,4.0,4.0,0.0,0.0,0.3377,23672704,94506731.0,85074787112.0,28042584736.0
2021-04-09,'601916,浙商银行,4.0,4.02,4.0,4.01,4.02,-0.02,-0.4975,0.2027,14210233,56891920.0,85074787112.0,28042584736.0
2021-04-08,'601916,浙商银行,4.02,4.03,4.01,4.03,4.04,-0.02,-0.495,0.2859,20043068,80510732.0,85500161047.6,28182797659.7
2021-04-07,'601916,浙商银行,4.04,4.04,4.01,4.01,4.03,0.01,0.2481,0.2587,18139020,72962798.0,85925534983.1,28323010583.4
2021-04-06,'601916,浙商银行,4.03,4.04,4.01,4.03,4.03,0.0,0.0,0.2682,18802709,75618470.0,85712848015.3,28252904121.5
2021-04-02,'601916,浙商银行,4.03,4.04,4.02,4.03,4.04,-0.01,-0.2475,0.2533,17760236,71536041.0,85712848015.3,28252904121.5
2021-04-01,'601916,浙商银行,4.04,4.07,4.01,4.07,4.07,-0.03,-0.7371,0.5178,36299656,146242077.0,85925534983.1,28323010583.4
2021-03-31,'601916,浙商银行,4.07,4.08,4.05,4.06,4.11,-0.04,-0.9732,0.5255,36841823,149614151.0,86563595886.5,28533329968.9
2021-03-30,'601916,浙商银行,4.11,4.11,4.07,4.09,4.1,0.01,0.2439,0.3603,25257020,103190257.0,87414343757.6,28813755816.2
2021-03-29,'601916,浙商银行,4.1,4.11,4.06,4.08,4.09,0.01,0.2445,0.4551,31907582,130099221.0,87201656789.8,28743649354.4
2021-03-26,'601916,浙商银行,4.09,4.11,4.07,4.09,4.08,0.01,0.2451,0.2304,16152071,66113012.0,86988969822.0,28673542892.6
2021-03-25,'601916,浙商银行,4.08,4.14,4.08,4.11,4.1,-0.02,-0.4878,0.3171,22230923,91117051.0,86776282854.2,28603436430.7
2021-03-24,'601916,浙商银行,4.1,4.15,4.1,4.15,4.15,-0.05,-1.2048,0.3767,26406260,108674901.0,87201656789.8,28743649354.4
2021-03-23,'601916,浙商银行,4.15,4.18,4.13,4.16,4.16,-0.01,-0.2404,0.2581,18096955,75042196.0,88265091628.7,29094181663.6
2021-03-22,'601916,浙商银行,4.16,4.17,4.12,4.14,4.14,0.02,0.4831,0.4754,33327909,138471515.0,88477778596.5,29164288125.4
2021-03-19,'601916,浙商银行,4.14,4.19,4.12,4.17,4.17,-0.03,-0.7194,0.485,34000150,140974625.0,88052404660.9,29024075201.8
2021-03-18,'601916,浙商银行,4.17,4.2,4.16,4.16,4.17,0.0,0.0,0.3365,23594000,98597038.0,88690465564.3,29234394587.3
2021-03-17,'601916,浙商银行,4.17,4.23,4.15,4.22,4.22,-0.05,-1.1848,0.471,33018390,137861029.0,88690465564.3,29234394587.3
2021-03-16,'601916,浙商银行,4.22,4.25,4.2,4.23,4.22,0.0,0.0,0.3982,27918772,117818053.0,89753900403.2,29584926896.5
2021-03-15,'601916,浙商银行,4.22,4.26,4.19,4.21,4.21,0.01,0.2375,0.4602,32265195,136368803.0,89753900403.2,29584926896.5
2021-03-12,'601916,浙商银行,4.21,4.22,4.16,4.17,4.19,0.02,0.4773,0.4392,30790147,129232883.0,89541213435.4,29514820434.6
2021-03-11,'601916,浙商银行,4.19,4.24,4.11,4.12,4.1,0.09,2.1951,0.7284,51062912,213903044.0,89115839499.8,29374607511.0
2021-03-10,'601916,浙商银行,4.1,4.18,4.1,4.15,4.15,-0.05,-1.2048,0.4931,34568960,142912204.0,87201656789.8,28743649354.4
2021-03-09,'601916,浙商银行,4.15,4.24,4.14,4.2,4.21,-0.06,-1.4252,0.6064,42514305,177588596.0,88265091628.7,29094181663.6
2021-03-08,'601916,浙商银行,4.21,4.32,4.18,4.18,4.18,0.03,0.7177,1.0134,71046443,301624741.0,89541213435.4,29514820434.6
2021-03-05,'601916,浙商银行,4.18,4.21,4.14,4.18,4.18,0.0,0.0,0.6585,46163743,192636608.0,88903152532.0,29304501049.1
2021-03-04,'601916,浙商银行,4.18,4.21,4.13,4.13,4.15,0.03,0.7229,1.2576,88166546,369272251.0,88903152532.0,29304501049.1
2021-03-03,'601916,浙商银行,4.15,4.16,4.07,4.07,4.07,0.08,1.9656,1.1025,77294787,319416496.0,88265091628.7,29094181663.6
2021-03-02,'601916,浙商银行,4.07,4.13,4.07,4.09,4.09,-0.02,-0.489,0.4975,34876291,142769844.0,86563595886.5,28533329968.9
2021-03-01,'601916,浙商银行,4.09,4.13,4.08,4.1,4.11,-0.02,-0.4866,0.4014,28138375,115415319.0,86988969822.0,28673542892.6
2021-02-26,'601916,浙商银行,4.11,4.11,4.05,4.08,4.11,0.0,0.0,0.9178,64346179,262763058.0,87414343757.6,28813755816.2
2021-02-25,'601916,浙商银行,4.11,4.12,4.08,4.11,4.1,0.01,0.2439,0.5805,40695889,167096942.0,87414343757.6,28813755816.2
2021-02-24,'601916,浙商银行,4.1,4.1,4.06,4.06,4.06,0.04,0.9852,0.9099,63790939,260551471.0,87201656789.8,28743649354.4
2021-02-23,'601916,浙商银行,4.06,4.11,4.06,4.07,4.08,-0.02,-0.4902,0.6013,42153565,172131576.0,86350908918.7,28463223507.0
