ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2021-06-21,'688002,î£´´Î¢ÄÉ,95.55,96.66,89.54,90.5,91.07,4.48,4.9193,2.1277,4901662,464799200.0,42519750000.0,22012013068.5
2021-06-18,'688002,î£´´Î¢ÄÉ,91.07,93.99,88.89,92.99,92.19,-1.12,-1.2149,1.7472,4024966,367319751.0,40526150000.0,20979947986.9
2021-06-17,'688002,XDî£´´Î¢,92.19,92.6,87.42,87.44,88.55,3.64,4.1107,1.5979,3681065,333374055.0,41024550000.0,21237964257.3
2021-06-16,'688002,î£´´Î¢ÄÉ,88.69,91.87,85.5,91.87,91.09,-2.4,-2.6348,2.1915,5048661,443719774.0,39467050000.0,20431663412.3
2021-06-15,'688002,î£´´Î¢ÄÉ,91.09,91.55,88.0,90.67,90.78,0.31,0.3415,1.5413,3550626,321584173.0,40535050000.0,20984555420.3
2021-06-11,'688002,î£´´Î¢ÄÉ,90.78,93.6,90.11,91.45,91.5,-0.72,-0.7869,1.5623,3599117,329039670.0,40397100000.0,20913140202.6
2021-06-10,'688002,î£´´Î¢ÄÉ,91.5,91.6,88.1,88.86,88.83,2.67,3.0057,1.2637,2911099,262879405.0,40717500000.0,21079007805.0
2021-06-09,'688002,î£´´Î¢ÄÉ,88.83,92.95,88.43,91.01,90.81,-1.98,-2.1804,1.1757,2708368,244714991.0,39529350000.0,20463915446.1
2021-06-08,'688002,î£´´Î¢ÄÉ,90.81,91.94,87.31,89.0,89.5,1.31,1.4637,1.6127,3715118,335443464.0,40410450000.0,20920051352.7
2021-06-07,'688002,î£´´Î¢ÄÉ,89.5,93.57,87.66,92.85,92.2,-2.7,-2.9284,2.75,6335159,566668473.0,39827500000.0,20618264465.0
2021-06-04,'688002,î£´´Î¢ÄÉ,92.2,95.0,90.33,95.0,95.02,-2.82,-2.9678,1.6092,3707220,343417204.0,41029000000.0,21240267974.0
2021-06-03,'688002,î£´´Î¢ÄÉ,95.02,96.1,93.5,95.5,95.72,-0.7,-0.7313,0.858,1976695,187856969.0,42283900000.0,21889916083.4
2021-06-02,'688002,î£´´Î¢ÄÉ,95.72,98.35,95.05,97.0,96.91,-1.19,-1.2279,1.2121,2792254,268816263.0,42595400000.0,22051176252.4
2021-06-01,'688002,î£´´Î¢ÄÉ,96.91,101.16,96.62,99.8,99.9,-2.99,-2.993,1.6071,3702325,362756522.0,43124950000.0,22325318539.7
2021-05-31,'688002,î£´´Î¢ÄÉ,99.9,100.67,94.01,94.01,94.69,5.21,5.5022,2.0931,4821900,474326359.0,44455500000.0,23014129833.0
2021-05-28,'688002,î£´´Î¢ÄÉ,94.69,97.35,93.37,96.2,97.8,-3.11,-3.18,1.3411,3089487,294224082.0,42137050000.0,21813893432.3
2021-05-27,'688002,î£´´Î¢ÄÉ,97.8,97.8,92.2,92.4,91.68,6.12,6.6754,2.3813,5485922,529067487.0,43521000000.0,22530349326.0
