ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2021-06-21,'300474,¾°¼ÎÎ¢,96.99,98.38,94.08,96.1,97.0,-0.01,-0.0103,2.3401,6329831,610331860.69,29218070483.2,26235150404.5
2021-06-18,'300474,¾°¼ÎÎ¢,97.0,98.6,95.23,97.01,96.92,0.08,0.0825,2.6964,7293582,705012924.92,29221082966.0,26237855338.0
2021-06-17,'300474,¾°¼ÎÎ¢,96.92,98.28,87.61,88.31,87.49,9.43,10.7784,3.4961,9456724,893615279.9,29196983103.8,26216215869.7
2021-06-16,'300474,¾°¼ÎÎ¢,87.49,91.46,86.85,89.62,89.59,-2.1,-2.344,1.8739,5068746,449511055.04,26356211842.2,23665463541.5
2021-06-15,'300474,¾°¼ÎÎ¢,89.72,91.15,87.15,87.71,88.01,1.71,1.943,1.988,5377474,481901260.66,27027995502.2,24268663720.9
2021-06-11,'300474,¾°¼ÎÎ¢,88.01,90.97,87.47,90.95,90.95,-2.94,-3.2325,2.2326,6039125,535838651.96,26512860946.8,23806120085.5
2021-06-10,'300474,¾°¼ÎÎ¢,90.95,92.17,89.37,90.5,90.75,0.2,0.2204,2.2117,5982478,541223635.73,27398530884.1,24601370546.3
2021-06-09,'300474,¾°¼ÎÎ¢,90.75,92.5,89.8,91.5,91.35,-0.6,-0.6568,1.9129,5174188,469923301.85,27338281228.5,24547271875.5
2021-06-08,'300474,¾°¼ÎÎ¢,91.35,93.88,86.77,88.0,87.43,3.92,4.4836,3.6014,9741448,887929486.08,27519030195.3,24709567887.9
2021-06-07,'300474,¾°¼ÎÎ¢,87.43,89.43,84.66,84.99,83.4,4.03,4.8321,3.0052,8128985,708828172.16,26338136945.5,23649233940.2
2021-06-04,'300474,¾°¼ÎÎ¢,83.4,84.53,78.4,78.9,79.28,4.12,5.1968,1.9416,5251843,430813055.78,25124106385.2,22559145723.6
2021-06-03,'300474,¾°¼ÎÎ¢,79.28,81.79,79.17,81.0,81.55,-2.27,-2.7836,1.1841,3202924,256888080.46,23882963479.8,21444713105.1
2021-06-02,'300474,¾°¼ÎÎ¢,81.55,83.55,80.8,82.66,82.95,-1.4,-1.6878,1.4666,3967115,324099981.62,24566797070.9,22058733018.7
2021-06-01,'300474,¾°¼ÎÎ¢,82.95,85.0,82.5,83.36,84.03,-1.08,-1.2853,1.4478,3916321,326606229.57,24988544660.1,22437423714.3
