日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-06-21,'601319,中国人保,5.89,5.9,5.86,5.89,5.92,-0.03,-0.5068,0.4892,27403688,161039089.0,2.60479304534e+11,32993229741.9
2021-06-18,'601319,中国人保,5.92,5.93,5.88,5.91,5.92,0.0,0.0,0.4781,26778346,158050672.0,2.61806024251e+11,33161276752.5
2021-06-17,'601319,中国人保,5.92,5.95,5.9,5.92,5.93,-0.01,-0.1686,0.4603,25782587,152619814.0,2.61806024251e+11,33161276752.5
2021-06-16,'601319,中国人保,5.93,5.97,5.91,5.92,5.92,0.01,0.1689,0.478,26773400,158843954.0,2.62248264157e+11,33217292422.7
2021-06-15,'601319,中国人保,5.92,6.01,5.9,6.0,6.01,-0.09,-1.4975,0.632,35399124,209886249.0,2.61806024251e+11,33161276752.5
2021-06-11,'601319,中国人保,6.01,6.06,5.98,6.05,6.06,-0.05,-0.8251,0.8698,48722874,292926771.0,2.65786183404e+11,33665417784.2
2021-06-10,'601319,中国人保,6.06,6.12,6.04,6.08,6.09,-0.03,-0.4926,0.7532,42190417,256211628.0,2.67997382933e+11,33945496135.1
2021-06-09,'601319,中国人保,6.09,6.15,6.08,6.13,6.13,-0.04,-0.6525,0.6348,35556655,217274163.0,2.6932410265e+11,34113543145.7
2021-06-08,'601319,中国人保,6.13,6.15,6.09,6.11,6.1,0.03,0.4918,0.5689,31867229,194963245.0,2.71093062274e+11,34337605826.5
2021-06-07,'601319,中国人保,6.1,6.14,6.08,6.13,6.12,-0.02,-0.3268,0.4479,25088700,153000574.0,2.69766342556e+11,34169558815.9
2021-06-04,'601319,中国人保,6.12,6.17,6.07,6.09,6.09,0.03,0.4926,0.7561,42352775,259181400.0,2.70650822368e+11,34281590156.3
2021-06-03,'601319,中国人保,6.09,6.15,6.09,6.09,6.11,-0.02,-0.3273,0.4507,25247400,154387691.0,2.6932410265e+11,34113543145.7
2021-06-02,'601319,中国人保,6.11,6.16,6.09,6.13,6.15,-0.04,-0.6504,0.6719,37639299,229941719.0,2.70208582462e+11,34225574486.1
2021-06-01,'601319,中国人保,6.15,6.17,6.11,6.14,6.16,-0.01,-0.1623,0.7117,39866358,244731504.0,2.71977542085e+11,34449637166.8
2021-05-31,'601319,中国人保,6.16,6.22,6.14,6.21,6.25,-0.09,-1.44,0.7551,42295147,260597280.0,2.72419781991e+11,34505652837.0
2021-05-28,'601319,中国人保,6.25,6.28,6.17,6.22,6.21,0.04,0.6441,0.8278,46367276,288400007.0,2.76399941144e+11,35009793868.8
2021-05-27,'601319,中国人保,6.21,6.27,6.2,6.22,6.22,-0.01,-0.1608,0.9238,51749613,321839045.0,2.7463098152e+11,34785731188.0
2021-05-26,'601319,中国人保,6.22,6.29,6.2,6.26,6.25,-0.03,-0.48,1.2697,71120889,444464703.0,2.75073221426e+11,34841746858.2
2021-05-25,'601319,中国人保,6.25,6.27,6.11,6.12,6.13,0.12,1.9576,1.7327,97057670,605038753.0,2.76399941144e+11,35009793868.8
2021-05-24,'601319,中国人保,6.13,6.15,6.06,6.08,6.08,0.05,0.8224,0.6541,36640775,224067620.0,2.71093062274e+11,34337605826.5
2021-05-21,'601319,中国人保,6.08,6.17,6.07,6.16,6.16,-0.08,-1.2987,0.6945,38904600,237527422.0,2.68881862745e+11,34057527475.5
2021-05-20,'601319,中国人保,6.16,6.2,6.1,6.14,6.14,0.02,0.3257,0.7533,42196834,259436383.0,2.72419781991e+11,34505652837.0
2021-05-19,'601319,中国人保,6.14,6.19,6.1,6.15,6.15,-0.01,-0.1626,0.5707,31965351,196336517.0,2.7153530218e+11,34393621496.7
2021-05-18,'601319,中国人保,6.15,6.26,6.14,6.14,6.16,-0.01,-0.1623,1.0361,58038995,359640807.0,2.71977542085e+11,34449637166.8
2021-05-17,'601319,中国人保,6.16,6.21,6.13,6.18,6.23,-0.07,-1.1236,1.197,67052066,413303350.0,2.72419781991e+11,34505652837.0
2021-05-14,'601319,中国人保,6.23,6.25,6.01,6.04,6.02,0.21,3.4884,2.2752,127446409,786335534.0,2.75515461332e+11,34897762528.4
2021-05-13,'601319,中国人保,6.02,6.07,6.0,6.03,6.06,-0.04,-0.6601,0.5135,28761666,173327488.0,2.6622842331e+11,33721433454.4
2021-05-12,'601319,中国人保,6.06,6.08,6.02,6.05,6.07,-0.01,-0.1647,0.6167,34542338,209137541.0,2.67997382933e+11,33945496135.1
2021-05-11,'601319,中国人保,6.07,6.08,5.94,5.98,6.0,0.07,1.1667,0.8879,49734324,299423537.0,2.68439622839e+11,34001511805.3
2021-05-10,'601319,中国人保,6.0,6.03,5.96,6.03,6.04,-0.04,-0.6623,0.6573,36818510,220452983.0,2.65343943498e+11,33609402114.0
2021-05-07,'601319,中国人保,6.04,6.08,6.0,6.04,6.04,0.0,0.0,0.6097,34152582,206127010.0,2.67112903121e+11,33833464794.8
2021-05-06,'601319,中国人保,6.04,6.09,5.99,6.04,6.06,-0.02,-0.33,0.8683,48637251,293151836.0,2.67112903121e+11,33833464794.8
2021-04-30,'601319,中国人保,6.06,6.1,5.96,6.0,6.0,0.06,1.0,1.5843,88747577,536311088.0,2.67997382933e+11,33945496135.1
2021-04-29,'601319,中国人保,6.0,6.06,5.86,5.87,5.82,0.18,3.0928,1.7101,95794721,572297437.0,2.65343943498e+11,33609402114.0
2021-04-28,'601319,中国人保,5.82,5.84,5.79,5.83,5.85,-0.03,-0.5128,0.3572,20009902,116331842.0,2.57383625193e+11,32601120050.6
2021-04-27,'601319,中国人保,5.85,5.88,5.81,5.87,5.87,-0.02,-0.3407,0.5314,29765900,173910329.0,2.58710344911e+11,32769167061.2
2021-04-26,'601319,中国人保,5.87,5.91,5.86,5.9,5.92,-0.05,-0.8446,0.4621,25882072,152263996.0,2.59594824722e+11,32881198401.5
2021-04-23,'601319,中国人保,5.92,5.95,5.89,5.92,5.92,0.0,0.0,0.3801,21290174,125969322.0,2.61806024251e+11,33161276752.5
2021-04-22,'601319,中国人保,5.92,5.95,5.9,5.93,5.91,0.01,0.1692,0.3177,17795100,105475734.0,2.61806024251e+11,33161276752.5
2021-04-21,'601319,中国人保,5.91,5.92,5.89,5.9,5.92,-0.01,-0.1689,0.2458,13768753,81337714.0,2.61363784346e+11,33105261082.3
2021-04-20,'601319,中国人保,5.92,5.95,5.91,5.93,5.95,-0.03,-0.5042,0.3127,17516140,103781880.0,2.61806024251e+11,33161276752.5
2021-04-19,'601319,中国人保,5.95,5.95,5.9,5.92,5.92,0.03,0.5068,0.4092,22923654,135976536.0,2.63132743969e+11,33329323763.0
2021-04-16,'601319,中国人保,5.92,5.92,5.88,5.88,5.89,0.03,0.5093,0.3211,17987203,106168549.0,2.61806024251e+11,33161276752.5
2021-04-15,'601319,中国人保,5.89,5.92,5.86,5.91,5.92,-0.03,-0.5068,0.4172,23370880,137400479.0,2.60479304534e+11,32993229741.9
2021-04-14,'601319,中国人保,5.92,5.93,5.91,5.92,5.91,0.01,0.1692,0.2809,15735275,93129020.0,2.61806024251e+11,33161276752.5
2021-04-13,'601319,中国人保,5.91,5.93,5.9,5.92,5.92,-0.01,-0.1689,0.3454,19349432,114386248.0,2.61363784346e+11,33105261082.3
2021-04-12,'601319,中国人保,5.92,5.95,5.91,5.93,5.93,-0.01,-0.1686,0.3674,20579479,121947106.0,2.61806024251e+11,33161276752.5
2021-04-09,'601319,中国人保,5.93,5.95,5.92,5.95,5.97,-0.04,-0.67,0.3978,22284347,132215859.0,2.62248264157e+11,33217292422.7
2021-04-08,'601319,中国人保,5.97,6.02,5.93,5.95,5.95,0.02,0.3361,0.6465,36214888,216568650.0,2.64017223781e+11,33441355103.4
2021-04-07,'601319,中国人保,5.95,5.96,5.91,5.92,5.93,0.02,0.3373,0.3846,21542736,127714353.0,2.63132743969e+11,33329323763.0
2021-04-06,'601319,中国人保,5.93,5.94,5.91,5.93,5.93,0.0,0.0,0.2914,16322476,96694395.0,2.62248264157e+11,33217292422.7
2021-04-02,'601319,中国人保,5.93,5.94,5.92,5.93,5.94,-0.01,-0.1684,0.3439,19261205,114205644.0,2.62248264157e+11,33217292422.7
2021-04-01,'601319,中国人保,5.94,5.95,5.92,5.93,5.94,0.0,0.0,0.3321,18602156,110349242.0,2.62690504063e+11,33273308092.9
2021-03-31,'601319,中国人保,5.94,5.96,5.92,5.95,5.95,-0.01,-0.1681,0.3705,20756555,123047015.0,2.62690504063e+11,33273308092.9
2021-03-30,'601319,中国人保,5.95,5.96,5.93,5.96,5.95,0.0,0.0,0.3737,20931925,124337280.0,2.63132743969e+11,33329323763.0
2021-03-29,'601319,中国人保,5.95,6.0,5.94,5.99,6.0,-0.05,-0.8333,0.4518,25307251,150962156.0,2.63132743969e+11,33329323763.0
2021-03-26,'601319,中国人保,6.0,6.02,5.95,5.95,5.95,0.05,0.8403,0.5809,32537212,194850279.0,2.65343943498e+11,33609402114.0
2021-03-25,'601319,中国人保,5.95,5.98,5.94,5.97,5.96,-0.01,-0.1678,0.4161,23308642,138962553.0,2.63132743969e+11,33329323763.0
2021-03-24,'601319,中国人保,5.96,6.0,5.93,5.97,5.99,-0.03,-0.5008,0.5819,32598034,194282015.0,2.63574983875e+11,33385339433.2
2021-03-23,'601319,中国人保,5.99,6.03,5.96,5.99,5.99,0.0,0.0,0.4501,25211291,150957359.0,2.64901703592e+11,33553386443.8
2021-03-22,'601319,中国人保,5.99,6.0,5.94,5.96,5.96,0.03,0.5034,0.4889,27386730,163642282.0,2.64901703592e+11,33553386443.8
2021-03-19,'601319,中国人保,5.96,6.02,5.94,6.01,6.03,-0.07,-1.1609,0.7252,40624331,242712156.0,2.63574983875e+11,33385339433.2
2021-03-18,'601319,中国人保,6.03,6.07,6.02,6.05,6.06,-0.03,-0.495,0.4488,25141438,151901731.0,2.66670663215e+11,33777449124.6
2021-03-17,'601319,中国人保,6.06,6.1,6.04,6.09,6.09,-0.03,-0.4926,0.4814,26968082,163569118.0,2.67997382933e+11,33945496135.1
2021-03-16,'601319,中国人保,6.09,6.1,6.04,6.05,6.04,0.05,0.8278,0.6199,34721636,210873176.0,2.6932410265e+11,34113543145.7
2021-03-15,'601319,中国人保,6.04,6.06,6.01,6.03,6.04,0.0,0.0,0.5428,30404913,183443230.0,2.67112903121e+11,33833464794.8
2021-03-12,'601319,中国人保,6.04,6.06,5.99,6.05,6.05,-0.01,-0.1653,0.5607,31407065,189292548.0,2.67112903121e+11,33833464794.8
2021-03-11,'601319,中国人保,6.05,6.06,6.0,6.01,5.99,0.06,1.0017,0.6078,34045772,205331016.0,2.67555143027e+11,33889480465.0
2021-03-10,'601319,中国人保,5.99,6.08,5.99,6.07,6.04,-0.05,-0.8278,0.671,37587436,226274285.0,2.64901703592e+11,33553386443.8
2021-03-09,'601319,中国人保,6.04,6.16,6.0,6.11,6.12,-0.08,-1.3072,0.9825,55033439,334388511.0,2.67112903121e+11,33833464794.8
2021-03-08,'601319,中国人保,6.12,6.23,6.12,6.17,6.14,-0.02,-0.3257,0.9633,53959343,333045942.0,2.70650822368e+11,34281590156.3
2021-03-05,'601319,中国人保,6.14,6.18,6.08,6.12,6.14,0.0,0.0,0.6718,37630864,230259318.0,2.7153530218e+11,34393621496.7
2021-03-04,'601319,中国人保,6.14,6.21,6.12,6.12,6.18,-0.04,-0.6472,0.8675,48593215,298866497.0,2.7153530218e+11,34393621496.7
