日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-06-21,'601658,邮储银行,5.06,5.15,5.01,5.14,5.16,-0.1,-1.938,2.1143,238379478,1206831619.0,4.67462876081e+11,57048774775.1
2021-06-18,'601658,邮储银行,5.16,5.2,5.14,5.2,5.22,-0.06,-1.1494,0.9704,109407586,565037814.0,4.76701272842e+11,58176220916.9
2021-06-17,'601658,邮储银行,5.22,5.33,5.2,5.32,5.31,-0.09,-1.6949,1.1392,128434431,674288636.0,4.82244310898e+11,58852688602.0
2021-06-16,'601658,邮储银行,5.31,5.38,5.21,5.25,5.24,0.07,1.3359,1.2699,143173360,760846237.0,4.90558867983e+11,59867390129.6
2021-06-15,'601658,邮储银行,5.24,5.3,5.18,5.28,5.27,-0.03,-0.5693,1.4382,162152434,849248804.0,4.8409199025e+11,59078177830.3
2021-06-11,'601658,邮储银行,5.27,5.38,5.26,5.36,5.38,-0.11,-2.0446,1.6363,184487930,979709829.0,4.86863509278e+11,59416411672.9
2021-06-10,'601658,邮储银行,5.38,5.41,5.32,5.33,5.35,0.03,0.5607,1.0729,120968078,648451716.0,4.97025745715e+11,60656602428.8
2021-06-09,'601658,邮储银行,5.35,5.41,5.31,5.41,5.42,-0.07,-1.2915,1.2848,144849866,773392276.0,4.94254226687e+11,60318368586.3
2021-06-08,'601658,邮储银行,5.42,5.44,5.33,5.43,5.44,-0.02,-0.3676,1.4533,163854031,883214071.0,5.00721104419e+11,61107580885.6
2021-06-07,'601658,邮储银行,5.44,5.49,5.41,5.48,5.53,-0.09,-1.6275,1.3201,148830958,810925177.0,5.02568783771e+11,61333070113.9
2021-06-04,'601658,邮储银行,5.53,5.54,5.39,5.44,5.45,0.08,1.4679,1.5194,171309603,937165953.0,5.10883340856e+11,62347771641.5
2021-06-03,'601658,邮储银行,5.45,5.54,5.42,5.49,5.48,-0.03,-0.5474,0.9748,109898250,601007246.0,5.03492623447e+11,61445814728.1
2021-06-02,'601658,邮储银行,5.48,5.55,5.43,5.51,5.54,-0.06,-1.083,1.1168,125914839,689809136.0,5.06264142475e+11,61784048570.6
