日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2021-06-21,'601068,中铝国际,3.55,3.57,3.42,3.43,3.44,0.11,3.1977,3.0955,9159651,32277586.0,10504686667.9,1050468667.85
2021-06-18,'601068,中铝国际,3.44,3.48,3.41,3.47,3.47,-0.03,-0.8646,1.972,5835211,20041150.0,10179189334.5,1017918934.48
2021-06-17,'601068,中铝国际,3.47,3.53,3.45,3.46,3.46,0.01,0.289,2.2883,6771190,23616548.0,10267961334.5,1026796134.49
2021-06-16,'601068,中铝国际,3.46,3.49,3.4,3.44,3.46,0.0,0.0,2.3637,6994223,24156052.0,10238370667.8,1023837067.82
2021-06-15,'601068,中铝国际,3.46,3.52,3.44,3.52,3.53,-0.07,-1.983,3.0406,8997395,31196601.0,10238370667.8,1023837067.82
2021-06-11,'601068,中铝国际,3.53,3.57,3.51,3.53,3.54,-0.01,-0.2825,2.5505,7547100,26660798.0,10445505334.5,1044550534.51
2021-06-10,'601068,中铝国际,3.54,3.62,3.5,3.61,3.58,-0.04,-1.1173,4.4498,13167236,46500650.0,10475096001.2,1047509601.18
2021-06-09,'601068,中铝国际,3.58,3.63,3.55,3.6,3.58,0.0,0.0,4.1583,12304800,44154181.0,10593458667.9,1059345867.86
2021-06-08,'601068,中铝国际,3.58,3.65,3.54,3.61,3.59,-0.01,-0.2786,4.895,14484647,51884531.0,10593458667.9,1059345867.86
2021-06-07,'601068,中铝国际,3.59,3.7,3.54,3.66,3.63,-0.04,-1.1019,7.8262,23158238,83319001.0,10623049334.5,1062304934.53
2021-06-04,'601068,中铝国际,3.63,3.81,3.63,3.68,3.81,-0.18,-4.7244,13.6643,40433479,149262738.0,10741412001.2,1074141201.21
2021-06-03,'601068,中铝国际,3.81,4.08,3.78,3.92,3.81,0.0,0.0,24.2018,71614638,281585608.0,11274044001.3,1127404401.27
2021-06-02,'601068,中铝国际,3.81,3.81,3.39,3.41,3.46,0.35,10.1156,11.1803,33083237,123343755.0,11274044001.3,1127404401.27
2021-06-01,'601068,中铝国际,3.46,3.65,3.29,3.3,3.32,0.14,4.2169,7.8503,23229600,80570737.0,10238370667.8,1023837067.82
2021-05-31,'601068,中铝国际,3.32,3.38,3.31,3.36,3.36,-0.04,-1.1905,2.2399,6628147,22076930.0,9824101334.44,982410134.44
